,emotion,text
4,disgust,"At a gathering I found myself involuntarily sitting next to two  
people who expressed opinions that I considered very low and  
discriminating."
11,disgust,When I found a bristle in the liver paste tube.
18,disgust,"When one finds out that someone you know is not at all like one  
had thought, for instance friends who steal and things like that,  
quite unwarranted."
28,disgust,When I nearly walked on a blindworm and then saw it crawl away.
35,disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that  
turned into sadness-unpleasantness."
42,disgust,"When one learns through the mass media all the wars and killing  
going on in the world."
49,disgust,"When I had just moved into my new appartment I found a ventilator  
in the kitchen.  I was going to clean it when I found that the  
drum was full of mud and slime.  I felt disgusted."
55,disgust,"I saw a cripple in rags with small children in Italy.  He was  
probably an imposter."
62,disgust,I found some worms in the food and I had obviously eaten some.
69,disgust,When an alcoholic stood dribbling over a food counter.
76,disgust,A bad smelling cucumber.
83,disgust,"It was when I read a newspaper article on the future and they  
foresaw that we would be eating frog-burgers by the year 2000.   
An illustration showed a frog between two pieces of bread."
90,disgust,When someone makes advances that one does not want.
97,disgust,When a dog is left whining outside a shop.
104,disgust,"While walking in town I noticed how the police harrassed a man  
who was under the influence of alcohol.  They terrified him with  
the thought of arrest by driving close behind him on a pedestrian  
street.  My disgust was directed at the gestures and the facial  
expressions of the policemen; they seemed to be enjoying  
themselves."
117,disgust,When I was weeding the garden I found a lizard in my hand.
124,disgust,"When I saw a picture, in the Gothenburg Post, of a totally  
demolished car with two fatally injured passengers.  The car was  
so badly damaged that they couldn't get the bodies out at the  
scene of the accident."
131,disgust,Grovelling people.
134,disgust,"Observing someone in the cafeteria noisily gulping in his food,  
having extremely bad manners."
141,disgust,"I felt some disgust for my boyfriend for a time, after he had  
left me."
148,disgust,Nothing.
155,disgust,Not applicable.
160,disgust,"In the tram there was a fat, sickly looking woman in front of me  
who was asking for directions in a thick voice.  When she got up to  
go a disgusting smell of urine came from her.  I felt that I  
would choke."
167,disgust,"My superior at the summer job swindled customers as much as he  
could, and once put me in a difficult situation after which I  
could not but detest him."
174,disgust,"At the underground station, a drunkard came to speak to me.  He  
tried to ask me something but I did not answer so he began to  
speak about me with his companion.  I detested this dirty  
growling man."
180,disgust,"In the evening, while I was watching TV, my little brother came  
in and started eating food he had brought from the kitchen while  
I was trying to concentrate on the program."
